stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Tutu\source\repos\PI_II_NORUEGA\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.02934] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02937] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.02939] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02942] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.02944] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02947] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.02958] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02964] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.02967] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02970] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.02973] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02976] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.02978] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02981] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.02983] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02986] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.02989] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02992] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.02994] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02997] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.03000] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03003] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.03005] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03008] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.03011] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03014] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03017] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03020] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03022] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03025] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.03027] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03031] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03033] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03036] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.03038] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03041] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.03044] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03047] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.03050] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03053] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.03055] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03059] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.03061] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03064] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03067] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03070] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03072] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03075] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.03077] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03080] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03083] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03086] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.03088] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03091] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.03094] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03097] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.03099] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03102] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.03104] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03107] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.03110] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03113] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03115] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03118] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03120] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03123] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.03126] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03129] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03131] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03134] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.03137] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03140] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.03143] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03146] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.03148] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03151] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.03153] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03156] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.03159] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03162] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03164] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03167] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03170] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03173] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.03175] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03178] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03180] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03183] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.03186] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03189] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.03191] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03194] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.03197] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03200] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.03202] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03205] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.03207] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03210] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03213] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03216] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03218] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03221] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.03223] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03234] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03237] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03240] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.03243] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03246] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.03248] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03251] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.03253] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03257] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.03259] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03262] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.03264] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03267] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03270] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03273] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03275] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03278] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.03280] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03283] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03286] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03289] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.03291] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03294] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.03296] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03299] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.03302] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03305] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.03307] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03310] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.03312] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03315] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03318] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03321] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03324] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03327] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03330] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03333] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03335] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03338] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03341] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03344] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03346] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03349] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03352] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03355] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03357] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03361] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03363] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03366] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03369] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03372] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03374] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03377] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03380] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03383] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03385] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03388] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03391] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03394] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03396] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03399] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03401] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03405] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03408] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03411] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03413] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03416] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03419] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03422] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03424] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03427] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03430] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03432] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03435] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03438] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03440] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03443] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03446] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03449] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03451] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03454] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03457] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03460] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03462] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03466] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03468] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03471] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03473] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03477] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03479] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03482] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03485] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03488] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03491] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03494] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03496] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03499] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03502] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03505] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03508] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03511] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03513] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03516] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03519] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03522] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03524] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03527] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03530] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03533] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03535] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03538] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03541] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03544] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03546] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03549] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03552] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03555] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03557] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03560] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03563] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03566] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03568] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03579] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03582] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03585] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03588] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
